"","Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","People practicing open defecation (% of population)","People using at least basic drinking water services (% of population)","People using at least basic sanitation services (% of population)","People using safely managed drinking water services (% of population)","People using safely managed sanitation services (% of population)","People with basic handwashing facilities including soap and water (% of population)","Population density (people per sq. km of land area)","Population, total","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
"37","African Region",2014,0.03,20.72,0.68,8.54,12.0320834771628,22.1595488814524,65.8173913237209,35.7588453537619,23.1933965182857,20.78033415284,15.5033506265,105.3483599455,20957516.1489362,53.0550447091395
"38","African Region",2015,0.03,20.33,0.68,8.26,12.3628064656512,21.427581537381,66.5147792795349,36.5245989650714,23.7465036095238,21.18532931864,16.0106584781667,107.548777860891,21519984.0212766,52.1210307978372
"39","African Region",2016,0.03,19.98,0.68,8.06,12.676668333093,20.7004482792857,67.2140870934884,37.2836357135238,24.2626394455238,21.587972006,16.5192402675,109.68556322037,22086515.5957447,51.0407630431395
"40","African Region",2017,0.02,19.58,0.68,7.81,12.8696058509535,19.9782844140238,67.9140206890698,38.0442567618333,24.7477718010952,21.98395681596,17.0290929596667,111.91140609587,22659574.7021277,50.9861366856047
"41","African Region",2018,0.02,19.27,0.67,7.53,13.1425029552093,19.2604092995,68.5916416469767,38.7952158997143,25.2103468597619,22.34567973972,17.5400610673333,114.206748806891,23251467.0638298,50.928150293
"42","African Region",2019,0.02,19.13,0.67,7.25,13.3200406056977,18.5494658906429,69.2468351451163,39.5465876040714,25.6525664560476,22.68340939016,18.0521767915,116.54304196113,23851723.787234,51.4266362735814
"43","African Region",2020,0.02,18.24,0.62,6.07,13.5047730634419,17.8676387204762,69.8655587102326,40.2314262376905,26.0538854615238,23.0286829458,18.5653752473333,118.89039514437,24459938.7234043,49.3722290403953
"44","African Region",2021,0.02,18.14,0.61,5.36,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,26.341901802,23.31135824836,19.0012371445,121.262494433696,25073078.0638298,50.7516621028837
"45","Eastern Mediterranean Region",2000,0.06,15.2,0.83,5.57,313.248728130143,12.5307511854118,79.0998408495238,75.0750310328571,65.3125393353846,54.076059011875,NA,133.44745432019,22451036.1363636,34.13558968355
"46","Eastern Mediterranean Region",2001,0.06,15.06,0.82,5.31,317.843334160143,12.2096439493529,79.397890907619,75.3777135952381,65.4762287592308,54.277452708125,NA,137.277848742095,23001375.9090909,34.1800789566
"47","Eastern Mediterranean Region",2002,0.05,14.93,0.81,5.07,323.524318301095,11.8425359566471,79.8046724247619,75.8251792247619,65.7075710053846,54.51462125625,NA,142.81737351981,23557049.0454545,34.33949004675
"48","Eastern Mediterranean Region",2003,0.05,14.81,0.81,4.84,327.694835843476,11.3936536292941,80.2688928366667,76.3573636504762,65.9379402730769,54.776987961875,NA,147.995487005333,24130912.7272727,36.42913441125
"49","Eastern Mediterranean Region",2004,0.05,14.73,0.8,4.7,344.64885773919,10.9411838227647,80.7326084942857,76.9064913080952,66.1734929446154,55.086055134375,NA,153.48496085419,24731163.3181818,38.6874363449
"50","Eastern Mediterranean Region",2005,0.05,14.66,0.78,4.44,361.856824913476,10.4649216388235,81.241702752381,77.5667710633333,66.4488490923077,55.450427325,NA,159.483336487238,25348804.5454545,40.05499801205
"51","Eastern Mediterranean Region",2006,0.05,14.67,0.77,4.3,369.535424714429,9.99192684988235,81.7727275266667,78.2258987452381,66.8902566392308,55.859069815,NA,167.458625355048,25990178.2727273,44.1421486134
"52","Eastern Mediterranean Region",2007,0.04,14.75,0.76,4.17,374.349002729667,9.64684101382353,82.2325674909524,78.824666637619,67.3307979138462,56.248126288125,NA,175.732820250238,26638832.0454545,47.77748448165
"53","Eastern Mediterranean Region",2008,0.04,14.88,0.75,4.04,379.063835145857,9.15256089005882,82.7943998190476,79.50004115,67.94349613,56.71056947375,NA,182.813007334048,27297773.6818182,51.5053716379
"54","Eastern Mediterranean Region",2009,0.04,14.95,0.74,3.85,383.484488808238,8.66370663317647,83.3560176133333,80.1748645219048,68.6391959946154,57.233116998125,NA,191.002834208429,27966831.5,53.0088075635
"55","Eastern Mediterranean Region",2010,0.04,14.93,0.73,3.61,388.101091757762,8.17951774805882,83.9181985904762,80.8499168942857,69.3401549738462,57.75936453625,NA,196.493755376143,28558112.5,57.5064007451
"56","Eastern Mediterranean Region",2011,0.04,14.76,0.72,3.26,392.072995708238,7.70049410076471,84.4746331247619,81.5223305514286,70.0536810246154,58.289409715,NA,196.699968985619,29202639.1818182,61.6475087778
"57","Eastern Mediterranean Region",2012,0.04,14.46,0.72,3.15,397.69536000919,7.26292105352941,85.028170072381,82.1746540195238,70.7902815053846,58.80446933875,NA,200.778249203857,29849140.2727273,63.73757027165
"58","Eastern Mediterranean Region",2013,0.04,14.11,0.71,3.09,402.108690551095,6.82963424223529,85.5770666128571,82.8257008666667,71.4910978723077,59.360403770625,NA,208.945668264048,30510044,65.61753111655
"59","Eastern Mediterranean Region",2014,0.03,13.74,0.71,2.92,405.651544748238,6.40061728764706,86.1247238109524,83.4686099561905,72.1929632761538,59.92241730875,NA,218.845815679381,31137507.9545455,67.82386522325
"60","Eastern Mediterranean Region",2015,0.03,13.45,0.7,2.8,410.824593421571,5.97587643470588,86.6746955509524,84.1012561409524,72.8579627015385,60.497655965,NA,225.417230875619,31782750.8181818,71.3301827045
"61","Eastern Mediterranean Region",2016,0.03,13.16,0.7,2.67,417.91852618919,5.55533752376471,87.2234287428571,84.7287387523809,73.4377820646154,61.1209923725,NA,230.901201599095,32399133.2272727,73.626982263
"62","Eastern Mediterranean Region",2017,0.03,12.79,0.69,2.57,431.476360421095,5.15315946558824,87.7706784114286,85.3526942976191,73.9384155238461,61.766517295625,NA,237.240239591619,32984044.2727273,73.2498499563
"63","Eastern Mediterranean Region",2018,0.03,12.43,0.68,2.4,433.747064150143,4.76545783223529,88.3643420980952,85.9552640819048,74.4369599146154,62.41376354625,NA,239.34278170081,33553349.0454545,74.0930436007
"64","Eastern Mediterranean Region",2019,0.03,12.14,0.67,2.28,433.308365340619,4.40762994423529,88.8547814547619,86.5173028080952,74.8320028076923,63.05030538875,NA,239.682212509095,34156415.9545455,74.57636015315
